text,label
Nothing seems to be going right.,1
"It's raining again, so gloomy.",1
That song made me so happy.,0
The dinner was delicious.,0
Feeling positive and energetic.,0
I hate waiting in traffic.,1
I hate waiting in traffic.,1
Had a wonderful trip.,0
The weather is beautiful.,0
Excited for the weekend!,0
I can't stop smiling today.,0
Feeling positive and energetic.,0
I can't stop smiling today.,0
This day is terrible.,1
Feeling depressed and exhausted.,1
I am feeling so sad.,1
That song made me so happy.,0
Feeling depressed and exhausted.,1
The food was awful.,1
Feeling stressed about work.,1
That song made me so happy.,0
Feeling anxious about the meeting.,1
Life is good.,0
The dinner was delicious.,0
This day is terrible.,1
Feeling depressed and exhausted.,1
Love spending time with my friends.,0
The food was awful.,1
"I missed the bus, what a bad day.",1
Everything seems to go wrong.,1
Feeling frustrated and tired.,1
Love spending time with my friends.,0
Feeling depressed and exhausted.,1
"I missed the bus, what a bad day.",1
That song made me so happy.,0
Excited for the weekend!,0
Excited for the weekend!,0
I feel so happy today.,0
"I missed the bus, what a bad day.",1
"I missed the bus, what a bad day.",1
I can't stop smiling today.,0
I feel so happy today.,0
The food was awful.,1
This movie was fantastic!,0
Feeling depressed and exhausted.,1
Everything seems to go wrong.,1
I had an amazing day!,0
Nothing seems to be going right.,1
Feeling depressed and exhausted.,1
"I missed the bus, what a bad day.",1
"I missed the bus, what a bad day.",1
Life is good.,0
This movie was fantastic!,0
I feel so happy today.,0
The dinner was delicious.,0
The food was awful.,1
Feeling positive and energetic.,0
I had an amazing day!,0
I had an amazing day!,0
I feel so happy today.,0
"My team lost the game, so disappointed.",1
"It's raining again, so gloomy.",1
Feeling depressed and exhausted.,1
Nothing seems to be going right.,1
I am feeling so sad.,1
The food was awful.,1
"It's raining again, so gloomy.",1
Feeling anxious about the meeting.,1
I feel so happy today.,0
"It's raining again, so gloomy.",1
Feeling frustrated and tired.,1
"It's raining again, so gloomy.",1
"I missed the bus, what a bad day.",1
Love spending time with my friends.,0
I am feeling so sad.,1
I feel so lonely today.,1
That song made me so happy.,0
Feeling frustrated and tired.,1
"My team lost the game, so disappointed.",1
That song made me so happy.,0
I am feeling so sad.,1
Feeling positive and energetic.,0
Life is good.,0
I feel so happy today.,0
I feel so happy today.,0
Love spending time with my friends.,0
I had an amazing day!,0
"My team won the game, awesome feeling!",0
Feeling frustrated and tired.,1
I feel so happy today.,0
"I missed the bus, what a bad day.",1
Love spending time with my friends.,0
I can't stop smiling today.,0
"My team won the game, awesome feeling!",0
"My team lost the game, so disappointed.",1
Feeling grateful for everything.,0
Feeling positive and energetic.,0
Life is good.,0
Nothing seems to be going right.,1
"My team lost the game, so disappointed.",1
Love spending time with my friends.,0
Everything seems to go wrong.,1
I can't stop smiling today.,0
"It's raining again, so gloomy.",1
"My team won the game, awesome feeling!",0
I can't stop thinking about my mistakes.,1
The weather is beautiful.,0
Everything seems to go wrong.,1
Excited for the weekend!,0
Love spending time with my friends.,0
"Just got a promotion, feeling great!",0
"My team lost the game, so disappointed.",1
I hate waiting in traffic.,1
That song made me so happy.,0
I had an amazing day!,0
Feeling positive and energetic.,0
"My team won the game, awesome feeling!",0
Feeling depressed and exhausted.,1
Nothing seems to be going right.,1
Feeling anxious about the meeting.,1
"My team won the game, awesome feeling!",0
"My team lost the game, so disappointed.",1
Life is good.,0
Nothing seems to be going right.,1
I feel so lonely today.,1
Feeling stressed about work.,1
"I missed the bus, what a bad day.",1
"It's raining again, so gloomy.",1
I had an amazing day!,0
"Just got a promotion, feeling great!",0
I hate waiting in traffic.,1
Life is good.,0
The weather is beautiful.,0
That song made me so happy.,0
Everything seems to go wrong.,1
I feel so lonely today.,1
Had a wonderful trip.,0
Love spending time with my friends.,0
I can't stop smiling today.,0
"Just got a promotion, feeling great!",0
Life is good.,0
I can't stop thinking about my mistakes.,1
I hate waiting in traffic.,1
Had a wonderful trip.,0
Love spending time with my friends.,0
I can't stop thinking about my mistakes.,1
I can't stop thinking about my mistakes.,1
The weather is beautiful.,0
Feeling anxious about the meeting.,1
"My team lost the game, so disappointed.",1
I feel so happy today.,0
"I missed the bus, what a bad day.",1
I feel so lonely today.,1
"My team lost the game, so disappointed.",1
This day is terrible.,1
Feeling frustrated and tired.,1
"My team won the game, awesome feeling!",0
Feeling stressed about work.,1
Feeling grateful for everything.,0
Feeling positive and energetic.,0
I feel so lonely today.,1
I can't stop thinking about my mistakes.,1
I had an amazing day!,0
Feeling grateful for everything.,0
Nothing seems to be going right.,1
This movie was fantastic!,0
The food was awful.,1
Excited for the weekend!,0
The weather is beautiful.,0
Life is good.,0
That song made me so happy.,0
I can't stop thinking about my mistakes.,1
I am feeling so sad.,1
This day is terrible.,1
The dinner was delicious.,0
Excited for the weekend!,0
The weather is beautiful.,0
Feeling frustrated and tired.,1
Feeling frustrated and tired.,1
The food was awful.,1
That song made me so happy.,0
Everything seems to go wrong.,1
Nothing seems to be going right.,1
I feel so lonely today.,1
I am feeling so sad.,1
"My team won the game, awesome feeling!",0
The food was awful.,1
Feeling stressed about work.,1
Had a wonderful trip.,0
This movie was fantastic!,0
Feeling stressed about work.,1
I had an amazing day!,0
The dinner was delicious.,0
This day is terrible.,1
Feeling positive and energetic.,0
That song made me so happy.,0
I am feeling so sad.,1
"My team lost the game, so disappointed.",1
The food was awful.,1
"It's raining again, so gloomy.",1
Feeling anxious about the meeting.,1
That song made me so happy.,0
"I missed the bus, what a bad day.",1
I had an amazing day!,0
Feeling positive and energetic.,0
Feeling frustrated and tired.,1
Love spending time with my friends.,0
Feeling stressed about work.,1
The dinner was delicious.,0
Feeling grateful for everything.,0
I feel so happy today.,0
I hate waiting in traffic.,1
Feeling positive and energetic.,0
"Just got a promotion, feeling great!",0
The dinner was delicious.,0
Had a wonderful trip.,0
"I missed the bus, what a bad day.",1
I feel so lonely today.,1
Feeling anxious about the meeting.,1
Feeling anxious about the meeting.,1
The weather is beautiful.,0
"Just got a promotion, feeling great!",0
The weather is beautiful.,0
"My team won the game, awesome feeling!",0
Life is good.,0
That song made me so happy.,0
Feeling anxious about the meeting.,1
I feel so happy today.,0
I hate waiting in traffic.,1
This day is terrible.,1
The food was awful.,1
"I missed the bus, what a bad day.",1
"I missed the bus, what a bad day.",1
I hate waiting in traffic.,1
Life is good.,0
The weather is beautiful.,0
"Just got a promotion, feeling great!",0
Feeling anxious about the meeting.,1
Feeling stressed about work.,1
"Just got a promotion, feeling great!",0
This movie was fantastic!,0
Feeling stressed about work.,1
I can't stop smiling today.,0
I feel so happy today.,0
Nothing seems to be going right.,1
Feeling depressed and exhausted.,1
Feeling positive and energetic.,0
Feeling grateful for everything.,0
I am feeling so sad.,1
Had a wonderful trip.,0
"My team lost the game, so disappointed.",1
I am feeling so sad.,1
"Just got a promotion, feeling great!",0
I can't stop smiling today.,0
I feel so lonely today.,1
I feel so happy today.,0
"My team won the game, awesome feeling!",0
I can't stop thinking about my mistakes.,1
The food was awful.,1
Feeling anxious about the meeting.,1
I feel so happy today.,0
I feel so happy today.,0
Feeling anxious about the meeting.,1
"My team won the game, awesome feeling!",0
I had an amazing day!,0
I had an amazing day!,0
I feel so lonely today.,1
"My team lost the game, so disappointed.",1
"I missed the bus, what a bad day.",1
The dinner was delicious.,0
Love spending time with my friends.,0
Everything seems to go wrong.,1
Feeling positive and energetic.,0
"Just got a promotion, feeling great!",0
I feel so happy today.,0
I feel so lonely today.,1
Nothing seems to be going right.,1
Excited for the weekend!,0
I feel so lonely today.,1
This day is terrible.,1
Nothing seems to be going right.,1
Love spending time with my friends.,0
I am feeling so sad.,1
This day is terrible.,1
The food was awful.,1
I am feeling so sad.,1
I had an amazing day!,0
"I missed the bus, what a bad day.",1
"My team won the game, awesome feeling!",0
Feeling depressed and exhausted.,1
Feeling stressed about work.,1
Feeling stressed about work.,1
"My team won the game, awesome feeling!",0
The weather is beautiful.,0
Life is good.,0
"My team won the game, awesome feeling!",0
Love spending time with my friends.,0
Nothing seems to be going right.,1
Feeling anxious about the meeting.,1
Feeling stressed about work.,1
Excited for the weekend!,0
I had an amazing day!,0
"I missed the bus, what a bad day.",1
"My team won the game, awesome feeling!",0
Nothing seems to be going right.,1
I can't stop smiling today.,0
I can't stop smiling today.,0
"Just got a promotion, feeling great!",0
I can't stop smiling today.,0
I feel so lonely today.,1
"My team won the game, awesome feeling!",0
Feeling positive and energetic.,0
The food was awful.,1
Excited for the weekend!,0
The dinner was delicious.,0
Nothing seems to be going right.,1
That song made me so happy.,0
Feeling stressed about work.,1
Feeling depressed and exhausted.,1
Excited for the weekend!,0
Feeling grateful for everything.,0
Feeling stressed about work.,1
I had an amazing day!,0
Feeling grateful for everything.,0
Feeling depressed and exhausted.,1
Had a wonderful trip.,0
Feeling frustrated and tired.,1
I can't stop smiling today.,0
Feeling frustrated and tired.,1
I feel so lonely today.,1
I am feeling so sad.,1
Excited for the weekend!,0
Everything seems to go wrong.,1
I feel so happy today.,0
That song made me so happy.,0
Nothing seems to be going right.,1
Love spending time with my friends.,0
I am feeling so sad.,1
This movie was fantastic!,0
Excited for the weekend!,0
The weather is beautiful.,0
"It's raining again, so gloomy.",1
Feeling stressed about work.,1
This day is terrible.,1
The weather is beautiful.,0
"My team lost the game, so disappointed.",1
Life is good.,0
"Just got a promotion, feeling great!",0
The dinner was delicious.,0
The weather is beautiful.,0
I can't stop smiling today.,0
"Just got a promotion, feeling great!",0
Excited for the weekend!,0
I feel so lonely today.,1
Love spending time with my friends.,0
Feeling positive and energetic.,0
"My team won the game, awesome feeling!",0
I feel so happy today.,0
Feeling anxious about the meeting.,1
Feeling depressed and exhausted.,1
Feeling grateful for everything.,0
Feeling frustrated and tired.,1
This day is terrible.,1
This day is terrible.,1
Feeling anxious about the meeting.,1
Nothing seems to be going right.,1
I feel so happy today.,0
Nothing seems to be going right.,1
Had a wonderful trip.,0
This movie was fantastic!,0
The dinner was delicious.,0
Had a wonderful trip.,0
I am feeling so sad.,1
I hate waiting in traffic.,1
Love spending time with my friends.,0
Had a wonderful trip.,0
"Just got a promotion, feeling great!",0
I can't stop smiling today.,0
Feeling positive and energetic.,0
Feeling grateful for everything.,0
The dinner was delicious.,0
That song made me so happy.,0
Love spending time with my friends.,0
I hate waiting in traffic.,1
Nothing seems to be going right.,1
Feeling stressed about work.,1
Feeling depressed and exhausted.,1
The food was awful.,1
Feeling grateful for everything.,0
Feeling depressed and exhausted.,1
Feeling frustrated and tired.,1
Had a wonderful trip.,0
Excited for the weekend!,0
Had a wonderful trip.,0
Nothing seems to be going right.,1
I am feeling so sad.,1
"It's raining again, so gloomy.",1
I feel so lonely today.,1
Feeling grateful for everything.,0
"My team won the game, awesome feeling!",0
I can't stop smiling today.,0
I can't stop thinking about my mistakes.,1
Feeling anxious about the meeting.,1
"My team won the game, awesome feeling!",0
Love spending time with my friends.,0
Feeling frustrated and tired.,1
That song made me so happy.,0
I feel so happy today.,0
"I missed the bus, what a bad day.",1
"Just got a promotion, feeling great!",0
"Just got a promotion, feeling great!",0
Nothing seems to be going right.,1
This day is terrible.,1
This movie was fantastic!,0
Had a wonderful trip.,0
"I missed the bus, what a bad day.",1
I hate waiting in traffic.,1
I feel so happy today.,0
Feeling stressed about work.,1
Feeling depressed and exhausted.,1
"I missed the bus, what a bad day.",1
I feel so happy today.,0
I am feeling so sad.,1
Everything seems to go wrong.,1
I feel so happy today.,0
This movie was fantastic!,0
Love spending time with my friends.,0
The weather is beautiful.,0
I had an amazing day!,0
"I missed the bus, what a bad day.",1
Feeling positive and energetic.,0
Everything seems to go wrong.,1
Feeling anxious about the meeting.,1
Feeling depressed and exhausted.,1
This movie was fantastic!,0
The food was awful.,1
The dinner was delicious.,0
Feeling stressed about work.,1
I am feeling so sad.,1
I feel so lonely today.,1
"My team won the game, awesome feeling!",0
"I missed the bus, what a bad day.",1
I feel so happy today.,0
I feel so happy today.,0
Feeling positive and energetic.,0
Feeling stressed about work.,1
Feeling grateful for everything.,0
Feeling depressed and exhausted.,1
Feeling grateful for everything.,0
Feeling anxious about the meeting.,1
I am feeling so sad.,1
Feeling positive and energetic.,0
"Just got a promotion, feeling great!",0
Life is good.,0
I can't stop thinking about my mistakes.,1
Life is good.,0
Love spending time with my friends.,0
Excited for the weekend!,0
Excited for the weekend!,0
Love spending time with my friends.,0
"It's raining again, so gloomy.",1
I am feeling so sad.,1
That song made me so happy.,0
Feeling grateful for everything.,0
I feel so happy today.,0
Nothing seems to be going right.,1
The food was awful.,1
I am feeling so sad.,1
Feeling positive and energetic.,0
Everything seems to go wrong.,1
I feel so happy today.,0
Feeling grateful for everything.,0
Life is good.,0
Had a wonderful trip.,0
Feeling frustrated and tired.,1
"My team won the game, awesome feeling!",0
"It's raining again, so gloomy.",1
"Just got a promotion, feeling great!",0
Excited for the weekend!,0
"It's raining again, so gloomy.",1
Feeling anxious about the meeting.,1
Feeling frustrated and tired.,1
I feel so happy today.,0
I hate waiting in traffic.,1
The dinner was delicious.,0
Feeling stressed about work.,1
Feeling anxious about the meeting.,1
Feeling frustrated and tired.,1
Feeling depressed and exhausted.,1
That song made me so happy.,0
Nothing seems to be going right.,1
I can't stop thinking about my mistakes.,1
Feeling frustrated and tired.,1
"My team won the game, awesome feeling!",0
"My team won the game, awesome feeling!",0
Excited for the weekend!,0
I can't stop thinking about my mistakes.,1
The dinner was delicious.,0
I feel so lonely today.,1
Feeling depressed and exhausted.,1
"It's raining again, so gloomy.",1
Had a wonderful trip.,0
Love spending time with my friends.,0
Feeling grateful for everything.,0
The food was awful.,1
Feeling depressed and exhausted.,1
This movie was fantastic!,0
Feeling stressed about work.,1
Feeling positive and energetic.,0
That song made me so happy.,0
"It's raining again, so gloomy.",1
Nothing seems to be going right.,1
Had a wonderful trip.,0
Love spending time with my friends.,0
"My team lost the game, so disappointed.",1
Love spending time with my friends.,0
The food was awful.,1
I feel so happy today.,0
That song made me so happy.,0
Feeling anxious about the meeting.,1
Nothing seems to be going right.,1
I feel so lonely today.,1
The weather is beautiful.,0
Feeling frustrated and tired.,1
"It's raining again, so gloomy.",1
Feeling anxious about the meeting.,1
The food was awful.,1
I had an amazing day!,0
Feeling anxious about the meeting.,1
I feel so lonely today.,1
Feeling grateful for everything.,0
I had an amazing day!,0
"My team lost the game, so disappointed.",1
Feeling frustrated and tired.,1
"It's raining again, so gloomy.",1
"My team lost the game, so disappointed.",1
I feel so happy today.,0
The dinner was delicious.,0
Nothing seems to be going right.,1
"It's raining again, so gloomy.",1
I can't stop smiling today.,0
This movie was fantastic!,0
I am feeling so sad.,1
Nothing seems to be going right.,1
Feeling anxious about the meeting.,1
This movie was fantastic!,0
This day is terrible.,1
I feel so happy today.,0
"My team lost the game, so disappointed.",1
Excited for the weekend!,0
Excited for the weekend!,0
Excited for the weekend!,0
I feel so lonely today.,1
"I missed the bus, what a bad day.",1
Feeling anxious about the meeting.,1
Everything seems to go wrong.,1
I can't stop thinking about my mistakes.,1
Feeling anxious about the meeting.,1
I feel so lonely today.,1
Feeling depressed and exhausted.,1
I had an amazing day!,0
Had a wonderful trip.,0
Feeling depressed and exhausted.,1
This movie was fantastic!,0
I can't stop thinking about my mistakes.,1
Love spending time with my friends.,0
Excited for the weekend!,0
"My team lost the game, so disappointed.",1
The food was awful.,1
Feeling positive and energetic.,0
